"time","open","high","low","close","volume","volumeq"
"2020-09-16 12:00:00+00",10842.71,10910,10840.39,10898.99,2232.08,2.4264E+7
"2020-09-16 11:00:00+00",10865.12,10926.88,10827,10842.71,3009.76,32708442
"2020-09-16 10:00:00+00",10897.6,10898.81,10848.42,10865.12,1893.78,2.058419E+7
"2020-09-16 09:00:00+00",10915.49,10930,10865,10897.6,2787.28,30351772
"2020-09-16 08:00:00+00",10835.53,10939.6,10810.8,10915.49,3632.95,39492212
"2020-09-16 07:00:00+00",10771.74,10855,10759.81,10835.53,2367.06,25568796
"2020-09-16 06:00:00+00",10788.45,10830.59,10758.85,10771.74,2024.7,21848684
"2020-09-16 05:00:00+00",10779.41,10819,10758.59,10788.45,1762.27,19018462
"2020-09-16 04:00:00+00",10736.3,10781.81,10713.27,10779.41,1468.59,15785238
"2020-09-16 03:00:00+00",10738.19,10743.51,10696.16,10736.3,1779.23,19073598
"2020-09-16 02:00:00+00",10717.23,10751.82,10670.36,10738.19,1906.96,20421084
"2020-09-16 01:00:00+00",10785.31,10791.72,10661.22,10717.23,4149.78,44443308
"2020-09-16 00:00:00+00",10779.25,10795.41,10752.62,10785.31,1621.91,17476618
"2020-09-15 23:00:00+00",10858.6,10864.67,10716.95,10779.25,2294.31,24809392
"2020-09-15 22:00:00+00",10860.01,10886.39,10816.16,10858.6,1810.17,1.964438E+7
"2020-09-15 21:00:00+00",10783.36,10871.38,10770.39,10860.01,2698.08,2.924189E+7
"2020-09-15 20:00:00+00",10784.22,10785.27,10746.06,10783.36,1440.87,15510329
"2020-09-15 19:00:00+00",10794.84,10810,10748.03,10784.22,1514.45,16324616
"2020-09-15 18:00:00+00",10784.23,10812.44,10738.33,10794.84,1931.04,20806592
"2020-09-15 17:00:00+00",10784.46,10827.61,10700,10784.23,3348.74,36028496
"2020-09-15 16:00:00+00",10764.19,10815.47,10745.63,10784.46,3531.31,38072664
"2020-09-15 15:00:00+00",10834.71,10879,10736.63,10764.19,4382.02,47384308
"2020-09-15 14:00:00+00",10907.94,10917.96,10834,10834.71,3326.42,36175188
"2020-09-15 13:00:00+00",10821.15,10930.04,10821.14,10907.94,4552.64,49585428
"2020-09-15 12:00:00+00",10847.32,10882,10771.26,10821.15,3766.62,40809936
"2020-09-15 11:00:00+00",10693.93,10867,10663.17,10847.32,3743.28,4.026302E+7
"2020-09-15 10:00:00+00",10644.14,10700,10625,10693.93,2418.38,25787968
"2020-09-15 09:00:00+00",10741.37,10758.65,10606.48,10644.14,3093.41,33047276
"2020-09-15 08:00:00+00",10736.06,10758.35,10705.7,10741.37,1687.79,1.811021E+7
"2020-09-15 07:00:00+00",10742.04,10742.05,10688.94,10736.06,2030.73,21768636
"2020-09-15 06:00:00+00",10731.41,10762.56,10709.34,10742.04,1295.52,13913961
"2020-09-15 05:00:00+00",10755.13,10784.23,10708.27,10731.41,1826.76,19620054
"2020-09-15 04:00:00+00",10758.24,10780,10736.72,10755.13,1745.78,1.878408E+7
"2020-09-15 03:00:00+00",10714.41,10839,10699,10758.24,4096.28,44129232
"2020-09-15 02:00:00+00",10680.8,10728.74,10652.22,10714.41,1993.3,2.130286E+7
"2020-09-15 01:00:00+00",10671.77,10703.01,10650,10680.8,1672.66,17860022
"2020-09-15 00:00:00+00",10650.37,10685.49,10618.82,10671.77,1621.45,1.726773E+7
"2020-09-14 23:00:00+00",10717.36,10747.36,10636.37,10650.37,2121.81,22683326
"2020-09-14 22:00:00+00",10683.99,10719.55,10670.26,10717.36,1359.36,14538881
